PowerPerPhoton;2.109859e+02
Photon ID;x-coordinate;y-coordinate;z-coordinate;surface side;Previous PhotonID;Next PhotonID
125;4.027342e-02;0.000000e+00;8.325283e-03;-1;124;0
128;2.467118e-02;0.000000e+00;-3.879952e-03;-1;127;0
131;-6.028827e-02;0.000000e+00;-3.555328e-02;-1;130;0
134;2.813340e-02;1.776357e-15;1.267112e-02;-1;133;0
137;-1.635873e-02;0.000000e+00;3.425956e-02;-1;136;0
140;2.256411e-02;8.881784e-16;-2.950612e-02;-1;139;0
144;-6.450310e-02;0.000000e+00;-2.835966e-02;-1;143;0
148;1.559162e-03;8.881784e-16;3.969876e-02;-1;147;0
151;-7.634959e-03;0.000000e+00;-5.150586e-02;-1;150;0
154;8.683203e-02;0.000000e+00;-7.431096e-03;-1;153;0
157;3.108628e-02;0.000000e+00;-5.934911e-02;-1;156;0
163;8.209903e-02;8.881784e-16;1.277522e-01;-1;162;0
168;-7.832391e-03;0.000000e+00;-1.127068e-02;-1;167;0
171;-8.655672e-02;0.000000e+00;-2.914408e-02;-1;170;0
174;3.934515e-02;0.000000e+00;-1.428052e-02;-1;173;0
179;4.756865e-02;-8.881784e-16;2.395772e-02;-1;178;0
182;-2.805095e-02;0.000000e+00;-2.754367e-02;-1;181;0
186;3.650870e-02;0.000000e+00;-7.647035e-02;-1;185;0
189;7.635818e-02;0.000000e+00;-4.509382e-02;-1;188;0
192;8.951449e-03;0.000000e+00;3.389799e-02;-1;191;0
195;8.239545e-02;8.881784e-16;-6.984023e-02;-1;194;0
198;-7.307135e-02;0.000000e+00;-1.236937e-01;-1;197;0
201;-2.534951e-02;0.000000e+00;-2.631851e-02;-1;200;0
205;9.953505e-03;8.881784e-16;3.131005e-02;-1;204;0
208;-4.455815e-02;0.000000e+00;1.479173e-03;-1;207;0
211;1.399860e-02;0.000000e+00;-1.272196e-02;-1;210;0
214;-8.991729e-04;-8.881784e-16;-4.569951e-02;-1;213;0
222;-1.340021e-02;0.000000e+00;2.389900e-03;-1;221;0
225;-1.177388e-02;8.881784e-16;-2.714069e-02;-1;224;0
231;-7.482959e-03;0.000000e+00;-4.208247e-02;-1;230;0
235;3.722336e-02;0.000000e+00;-1.825881e-02;-1;234;0
238;1.517780e-02;8.881784e-16;-2.985625e-02;-1;237;0
241;4.235448e-02;0.000000e+00;-8.416719e-02;-1;240;0
244;-8.979650e-02;-8.881784e-16;4.762868e-02;-1;243;0
249;2.941286e-02;0.000000e+00;2.035370e-01;-1;248;0
256;8.692847e-02;0.000000e+00;-1.024423e-02;-1;255;0
260;5.412128e-02;-8.881784e-16;-5.934624e-03;-1;259;0
263;2.504153e-02;8.881784e-16;8.883179e-02;-1;262;0
266;-2.333022e-02;0.000000e+00;2.412587e-03;-1;265;0
271;-1.250534e-02;0.000000e+00;-4.431488e-03;-1;270;0
275;-2.374088e-02;0.000000e+00;1.624854e-02;-1;274;0
278;-5.490306e-03;0.000000e+00;-5.636471e-02;-1;277;0
283;-2.536414e-02;-8.881784e-16;-3.442742e-02;-1;282;0
287;-1.653982e-01;8.881784e-16;6.321678e-02;-1;286;0
290;-1.475144e-02;-8.881784e-16;-6.006829e-02;-1;289;0
295;4.596931e-02;0.000000e+00;1.902503e-02;-1;294;0
298;3.625258e-03;0.000000e+00;1.050790e-02;-1;297;0
304;4.030950e-02;0.000000e+00;-5.160851e-02;-1;303;0
307;-4.513074e-02;8.881784e-16;-9.728166e-02;-1;306;0
311;-1.251238e-02;0.000000e+00;2.510875e-02;-1;310;0
315;7.278745e-02;0.000000e+00;1.010585e-01;-1;314;0
318;-1.970412e-02;0.000000e+00;5.299857e-02;-1;317;0
323;-2.154360e-02;0.000000e+00;-7.664261e-02;-1;322;0
326;-3.474201e-02;1.776357e-15;-2.034819e-02;-1;325;0
329;6.451432e-02;0.000000e+00;1.614156e-02;-1;328;0
332;-4.722770e-03;-8.881784e-16;-9.688166e-02;-1;331;0
336;-6.257794e-02;0.000000e+00;3.054597e-02;-1;335;0
339;3.295797e-02;-8.881784e-16;-1.646465e-02;-1;338;0
342;2.237799e-02;8.881784e-16;6.000264e-03;-1;341;0
346;1.852985e-02;0.000000e+00;7.224776e-03;-1;345;0
349;3.667770e-03;8.881784e-16;5.237767e-03;-1;348;0
353;-1.650127e-02;0.000000e+00;6.381727e-02;-1;352;0
356;1.786594e-02;0.000000e+00;1.997837e-02;-1;355;0
360;-7.341686e-02;0.000000e+00;1.426601e-03;-1;359;0
364;-4.184213e-02;0.000000e+00;1.822718e-02;-1;363;0
367;-6.976093e-04;0.000000e+00;-1.734195e-02;-1;366;0
371;3.786592e-03;0.000000e+00;-3.234918e-03;-1;370;0
374;7.885041e-02;0.000000e+00;-3.345566e-02;-1;373;0
377;-4.741939e-03;0.000000e+00;-4.621777e-02;-1;376;0
381;4.770565e-02;-8.881784e-16;4.175875e-02;-1;380;0
384;-2.413837e-02;-8.881784e-16;-9.813762e-03;-1;383;0
